variety_name,basic_material_number,crop_description,pre_commercial_name
QUANTUM,000000000010815619,PEA,EX-F210
SV0935QF,000000000011078874,PEA,DLFC7V0935
HACIENDA,000000000010802857,PEA,EX-08530726
SV0893QF,000000000011080905,PEA,EX-08260893
ASHTON,000000000010833047,PEA,EX-08500566
SV0957QF,000000000011078870,PEA,DLFC7V0957
STAMPEDE,000000000010904645,PEA,EX-F138
AZARRO,000000000010805491,PEA,EX-08220654
HYPERION,000000000010916043,PEA,EX-08250833
PROMETHEUS,000000000011078876,PEA,DLLC7V0906
MAURICE,000000000010916039,PEA,EX-08250838
LAZOR,000000000010811550,PEA,EX-F239
XP 08510617,000000000010813833,PEA,EX-08510617
RELIANCE,000000000010767937,PEA,EX-08540793
MINOTAUR,000000000010824644,PEA,EX-08240773
SOLUTION,000000000010837476,PEA,EX-8504178
LIL MO,000000000010835991,PEA,EX-368
LOTUS,000000000010759627,PEA,EX-F66
SV0956QH,000000000011078868,PEA,EX-08570956
ROMANCE,000000000010795370,PEA,EX-08510616
MR BIG,000000000010805931,PEA,EX-356
UTRILLO,000000000010820978,PEA,EX-F132
EX 08260882,000000000011078848,PEA,EX-08260882
ULTIMO,000000000010776585,PEA,EX-09690470
XP 08550820,000000000010761252,PEA,EX-08550820
SWEET ANN,000000000010900389,PEA,EX-08590485
EX08767143,000000000010891595,SWEET CORN,EX08767143
OBSESSION,000000000010760026,SWEET CORN,9364169
QHW6RH1229,000000000011037482,SWEET CORN,QHW6RH1229
DEVOTION,000000000010806839,SWEET CORN,8413133
PASSION,000000000010810669,SWEET CORN,9381169
SC1336,000000000011255020,SWEET CORN,QHY6RH1336
TEMPTATION,000000000010791426,SWEET CORN,8413437
CHALLENGER,000000000010761705,SWEET CORN,8412887
SHY 1036,000000000011080755,SWEET CORN,SHY6RH1036
XP 08705808,000000000010893004,SWEET CORN,08705808
SHEBA R,000000000010784142,SWEET CORN,8413247
BASIN R,000000000010820371,SWEET CORN,08715811
MERIT,000000000010823861,SWEET CORN,8410827
MERKUR,000000000010809663,SWEET CORN,8490549
SV6881SN,000000000011056473,SWEET CORN,TSY-6TH6881
SV5037SN,000000000011188910,SWEET CORN,TSY6TH5037
GOLDEN SWEETER 93,000000000010827082,SWEET CORN,EX034-1-1593
AG1051,000000000011209354,SWEET CORN,AG1051
RMB-DK81813,000000000011188228,"BEAN, GARDEN",
DLW 082-0679*N10,000000000010902333,PEA,
COMOROS,000000000010763343,SPINACH,RX-06623163
YEOLGWANG,000000000011477372,SPINACH,RX-06673529
RS 06653407,000000000010916358,SPINACH,RX-06653407
RS 06683549,000000000011206110,SPINACH,RX-06683549
RS 06623170,000000000010827353,SPINACH,RX-06623170
ZANZIBAR,000000000010904130,SPINACH,RX-06633256
RS 06653394,000000000010770069,SPINACH,RX-06653394
SV2157VB,000000000011477034,SPINACH,RX-06692157
SV2146VB,000000000011477164,SPINACH,RX-06682146
SV2141VB,000000000011477038,SPINACH,RX-06682141
NIGHTHAWK,000000000010762592,SPINACH,RX-06611160
SV3523VC,000000000011203788,SPINACH,RX-06673523
VANCOUVER,000000000010812319,SPINACH,EX-3494
ALLOUETTE,000000000010777222,SPINACH,RX-06611164
RX-06681619,000000000011477192,SPINACH,
USEPPA,000000000011203790,SPINACH,RX-06681652
SV3580VC,000000000011477370,SPINACH,RX-06683580
BALLET,000000000010766190,SPINACH,RS-900012
INTERCEPTOR,000000000010907707,SPINACH,RX-06691042
SV1714VC,000000000011477130,SPINACH,RX-06691714
SOLOMON,000000000010762186,SPINACH,RX-06641301
SEYCHELLES,000000000010897803,SPINACH,RX-06651393
CALADONIA,000000000011203794,SPINACH,RX-06681616
RAIDER,000000000010838062,LETTUCE,
MESSAPIA,000000000010821694,LETTUCE,MESSAPIA
FRILLICE BABY,000000000010850648,LETTUCE,
TOUAREG,000000000010776016,LETTUCE,RX-06432554
SURE SHOT,000000000010906850,LETTUCE,PX-06512772
STALLION,000000000010810794,LETTUCE,RX-07202250
RAIDER PLUS,000000000010819068,LETTUCE,PX-06510635
RAIDER,000000000010761038,LETTUCE,EX-5848
LUCY BROWN,000000000010790577,LETTUCE,EX-12013
SV4204LD,000000000011206764,LETTUCE,PX-06514204
RHINO,000000000010793691,LETTUCE,PX-06510524
MOHAWK,000000000010811570,LETTUCE,PX-6386
JAVELINA,000000000010812428,LETTUCE,PX-8365
CARTAGONOVA,000000000010783515,LETTUCE,PX-952561
LT4083,000000000011206756,LETTUCE,PX-06514083
COOLGUARD,000000000010906993,LETTUCE,XP-505
SAHARA,000000000010781049,LETTUCE,PX-06511294
SV3035LF,000000000011207880,LETTUCE,RX-16883035
FRILLICE,000000000010806290,LETTUCE,RX-892108
SOLARIS,000000000010835344,LETTUCE,PX-06510008
SV8403LN,000000000011206746,LETTUCE,PX-06518403
VALLEY HEART,000000000010768414,LETTUCE,PX-06511508
GALLEGO DE INVIERNO,000000000011194918,LETTUCE,
WIM 60-1013,000000000010846132,FENNEL,
MSA 66-1031 F,000000000010862523,SPINACH,
DARK GREEN BOSTON,000000000000000000,LETTUCE,
LORETTO,000000000010884426,LETTUCE,
CR1706,000000000011277521,CARROT,PX-07101706
PS 07101441,000000000010837535,CARROT,PX-07101441
CHANTENAY HIBRIDA,000000000010816480,CARROT,PX-2590
ABACO,000000000010780448,CARROT,PX-17193
SV3118DH,000000000010795383,CARROT,PX-07103118
CELLOBUNCH,000000000010772600,CARROT,EX-568
ENTERPRISE,000000000010795726,CARROT,PX-41893
SV2384DL,000000000011277527,CARROT,PX-07102384
ENVY,000000000010764135,CARROT,PX-07132127
ESPERANZA,000000000010799336,CARROT,PX-07105199
CARVORA,000000000011106319,CARROT,RX-04451205
SV5300DN,000000000011019841,CARROT,PX-07105300
EX 4098,000000000011019338,CARROT,EX-07904098
VOLTA,000000000010789081,LEEK,RX-07357794
SV4643NT,000000000011243500,ONION,EX-07714643
EX 07714593,000000000010928193,ONION,EX-07714593
SV4053NU,000000000011466201,ONION,EX-07714053
STERLING,000000000010900235,ONION,PX-92088
SV4058NU,000000000011243506,ONION,EX-07714058
PX 07713119,000000000011239261,ONION,PX-07713119
MISSISSIPPI,000000000010894847,ONION,PX-07713163
PX-07713264,000000000011467198,ONION,
XP 07716000,000000000010782150,ONION,EX-07716000
BARBARO,000000000010808416,ONION,EX-07716064
SV6646NW,000000000011243508,ONION,EX-07716646
SV6672NW,000000000011467450,ONION,EX-07716672
FORTRESS,000000000010901096,ONION,EX-3330
LASALLE,000000000010814788,ONION,EX-07718504
VARES,000000000010760714,ONION,PX-1001-93
BARITO,000000000010815630,ONION,RX-86080
DEVONPORT,000000000010771885,ONION,EX-796999
PEREZ,000000000010818024,ONION,EX-07905013
WAIKATO,000000000010761828,ONION,EX-6808
XP 07939002,000000000010800428,ONION,EX-07939002
SIERRA BLANCA,000000000010779285,ONION,PX-25294
CANDY,000000000010765178,ONION,PX-3688
CAMPO LINDO,000000000010761114,ONION,EX-07515018
LEONA,000000000010803973,ONION,EX-07595003
AKAMARU,000000000010780160,ONION,EX-07543012
GOLDENEYE,000000000010812843,ONION,EX-07542007
CENTURY,000000000010798866,ONION,EX-07592000
CEYLON,000000000010779614,ONION,EX-07557017
XP RED,000000000010789943,ONION,EX-07597000
STRATUS,000000000010837995,ONION,EX-6800
SV4043NM,000000000011297115,ONION,EX-07574043
CIRRUS,000000000010825828,ONION,EX-6798
LINDA VISTA,000000000010777568,ONION,PX-8589
BAJA VERDE,000000000010805933,ONION,PX-290311
GREEN BANNER,000000000010790031,ONION,PX-290011
MAY-RYAN-EPLK,000000000010762562,ONION,MAY-RYAN-EPLK
LA JOYA,000000000010836462,ONION,EX-6702
ROYAL SELECTION,000000000010772486,ONION,ROYAL-SELECTION
GULMOHAR,000000000010795557,ONION,RX-10710160
SRS 107-7000C,000000000010888925,ONION,
DALIA,000000000011168051,EGGPLANT,DRA-0688
NIGHT SHADOW,000000000010783518,EGGPLANT,PX-894
BLACK BELL,000000000010833333,EGGPLANT,BLACK-BELL
TIZONA,000000000011627258,EGGPLANT,DRA-2128
MADONNA,000000000011168049,EGGPLANT,DRA-1004
BIRGAH,000000000010801800,EGGPLANT,PX-200394
